ID;YEAR;ENGINE_VOLUME;FUEL_TYPE;BODY_TYPE;TYPE_OF_DRIVE;INTERIOR_TYPE;TRANSM_TYPE;AUTO_CONDITION;ESTIM_COST
1;0;9;30;Petrol-CNG;Truck;Four-wheel drive;Leather;Automatic;Satisfactory;4688000
2;1;10;16;Petrol;Sedan;Front-wheel drive;Jewlery;Mechanic;Satisfactory;1853000
3;2;17;24;Petrol;Sedan;Front-wheel drive;Jewlery;Automatic;Satisfactory;1000000
4;3;4;16;Petrol;Sedan;Front-wheel drive;Jewlery;Automatic;Excellent;3150000
5;4;17;30;Petrol;Truck;Four-wheel drive;Leather;Automatic;Satisfactory;1603000
6;5;9;30;Petrol-CNG;Sedan;Rear drive;Leather;Automatic;Satisfactory;4957000
7;6;13;20;Petrol;Crossover;Four-wheel drive;Leather;Automatic;Satisfactory;2665000
8;7;8;30;Petrol;Truck;Four-wheel drive;Leather;Automatic;Excellent;5363000
9;8;10;24;Petrol;Sedan;Front-wheel drive;Jewlery;Automatic;Good;2624000
10;9;8;20;Petrol-CNG;Crossover;Four-wheel drive;Jewlery;Automatic;Excellent;2937000
11;10;1;25;Petrol;Sedan;Front-wheel drive;Jewlery;Automatic;Excellent;7161000
12;11;3;20;Petrol;Sedan;Front-wheel drive;Leather;Automatic;Excellent;5614000
13;12;13;23;Petrol;Sedan;Front-wheel drive;Jewlery;Automatic;Good;1377000
14;13;1;25;Petrol;Sedan;Front-wheel drive;Jewlery;Automatic;Satisfactory;7315000
15;14;3;12;Petrol;Hetchbek;Front-wheel drive;Jewlery;Automatic;Satisfactory;2092000
16;15;8;25;Petrol;Sedan;Front-wheel drive;Jewlery;Automatic;Satisfactory;2300000
17;16;5;24;Petrol-CNG;Crossover;Four-wheel drive;Leather;Automatic;Excellent;5077000
18;17;5;25;Petrol;Sedan;Front-wheel drive;Jewlery;Automatic;Good;4016000
19;18;18;24;Petrol;Sedan;Rear drive;Leather;Automatic;Satisfactory;1500000
20;19;6;16;Petrol;Hetchbek;Front-wheel drive;Jewlery;Automatic;Satisfactory;2500000
21;20;13;20;Petrol;Sedan;Front-wheel drive;Jewlery;Automatic;Good;1700000
22;21;14;20;Petrol;Universal;Front-wheel drive;Jewlery;Automatic;Satisfactory;1518000
23;22;12;22;Petrol;Universal;Front-wheel drive;Jewlery;Automatic;Satisfactory;1400000
24;23;14;25;Petrol;Sedan;Front-wheel drive;Leather;Automatic;Good;1400000
25;24;10;20;Petrol;Crossover;Four-wheel drive;Leather;Automatic;Good;2971000
26;25;2;20;Petrol;Crossover;Four-wheel drive;Combined;Automatic;Excellent;11723000
27;26;12;35;Petrol;Crossover;Four-wheel drive;Leather;Automatic;Good;3371000
28;27;6;18;Petrol;Sedan;Front-wheel drive;Jewlery;Automatic;Satisfactory;3070000
29;28;5;25;Petrol;Crossover;Four-wheel drive;Jewlery;Automatic;Satisfactory;4811000
30;29;4;16;Petrol;Crossover;Front-wheel drive;Jewlery;Automatic;Excellent;3500000
31;30;2;14;Petrol;Sedan;Front-wheel drive;Jewlery;Automatic;Satisfactory;2491000
32;31;2;25;Petrol;Crossover;Four-wheel drive;Jewlery;Automatic;Satisfactory;6525000
33;32;10;30;Petrol;Universal;Rear drive;Jewlery;Automatic;Good;3080000
34;33;15;16;Petrol-CNG;Hetchbek;Front-wheel drive;Jewlery;Mechanic;Satisfactory;1000000
35;34;9;22;Diesel;Crossover;Four-wheel drive;Leather;Mechanic;Satisfactory;3425000
36;35;16;30;Petrol;Truck;Four-wheel drive;Leather;Automatic;Satisfactory;1900000
37;36;9;16;Petrol;Hetchbek;Front-wheel drive;Combined;Automatic;Satisfactory;1782000
